,author,text,like_count,published_at,updated_at
95,Ngọc Hưng Nguyễn,Anh làm đại học Việt Đức VGU đi anh,0,2021-07-23T06:43:24Z,2021-07-23T06:43:24Z
96,DO DO,Review ngành ngôn ngữ Trung Quốc đi a!,0,2021-07-23T06:03:51Z,2021-07-23T06:03:51Z
97,Đại Phú Lý,Làm về Học viện hàng không đi anh 😁,1,2021-07-22T05:48:21Z,2021-07-22T05:48:21Z
98,Kiệt Đoàn Anh,Review về Học viện kỹ thuật mật mã đi anh,4,2021-07-21T15:21:59Z,2021-07-21T15:21:59Z
99,Yến kami,Anh ơi ak làm về trường đại học edX đi ạ,2,2021-07-21T15:04:26Z,2021-07-21T15:04:26Z
100,lilsicks,Anh so sánh ngành tkdh vs ttdpt đi ạ,3,2021-07-21T09:18:39Z,2021-07-21T09:18:39Z
101,Hoang Dinh Gia Bao,review đh văn hiến đi ad,1,2021-07-20T20:39:59Z,2021-07-20T20:39:59Z
102,G A V I  Official,"Đại Học Văn Hiến là 1 trường đa ngành và chuyên bên các ngành xã hội... Anh có thể giúp em tìm hiểu thêm về học phí hay là cơ sở vật chất của trường này được không ạ, tại vì em thấy các video của anh làm rất chi tiết nên mong anh có thể làm 1 video về Đại Học Văn Hiến ạ...em cảm ơn anh nhiềuuu❤",4,2021-07-20T13:20:23Z,2021-07-20T13:20:23Z
103,Thịnh Dương,trường này có tiếng ở tphcm lắm :((( <br>tiếng ăn tiền :(((,3,2021-07-20T13:13:24Z,2021-07-20T13:13:24Z
104,Thịnh Dương,@Lê Thị Thảo mình học ở miền nam cho nên là không biết phía bắc sao :((,0,2021-09-15T17:14:24Z,2021-09-15T17:14:24Z
105,Lê Thị Thảo,V ở phía Bắc thì sao ạ mong b trả lời,0,2021-09-15T17:04:24Z,2021-09-15T17:04:24Z
106,Thang Le,Hải Tiến học phí cao mà k đầu tư vào csvc.csvc quá tệ,0,2021-08-01T13:16:41Z,2021-08-01T13:16:41Z
107,Thang Le,Chuẩn bạn ơi,0,2021-08-01T03:09:08Z,2021-08-01T03:09:08Z
108,Mạnh Hậu,:)),2,2021-07-20T13:32:25Z,2021-07-20T13:32:25Z
109,Nhung•••••,Review Đại học Hồng Bàng ik ạ,1,2021-07-20T10:41:18Z,2021-07-20T10:41:43Z
110,SuperTeo,okie,1,2021-07-20T13:05:13Z,2021-07-20T13:05:13Z
111,Dat Pham,Anh làm về đh cn gtvt đi anh,2,2021-07-20T08:08:08Z,2021-07-20T08:08:08Z
112,Võ Trường An,Làm trường đại học đà lạt đi anh,1,2021-07-20T07:46:45Z,2021-07-20T07:46:45Z
113,Chán lắm rồi Long ơi,học viện kĩ thuật mật mã đi ạ,3,2021-07-20T07:45:53Z,2021-07-20T07:45:53Z
114,Đường Tam Tạng,Review dh công nghệ sài gòn đi a,0,2021-07-19T14:55:13Z,2021-07-19T14:55:25Z
115,Puu Rizz,Ông tính học ngành nào v?,0,2021-07-23T10:36:36Z,2021-07-23T10:36:36Z
116,BabyH,Đh gtvt và đh công nghệ gtvt có gì khác nhau không mn ? Nếu được ad làm 1 vid về vđề này đi ạ,1,2021-07-19T11:27:27Z,2021-07-19T11:27:27Z
117,BabyH,+1 đh công nghệ gtvt ad ơi,1,2021-07-19T11:19:14Z,2021-07-19T11:19:14Z
118,Huy Tuấn Nguyễn,anh làm về đại học điện lực đi anh. em cảm ơn ạ,0,2021-07-19T10:01:27Z,2021-07-19T10:01:27Z
119,Vũ Trần Long,Anh cho em hỏi ở trong Nam có 2 cơ  sở: quận 1 với quận 9 thì mình đk đại học thì học ở quận mấy hay thích chọn quận nào cx dc ạ,1,2021-07-19T09:34:10Z,2021-07-19T09:34:10Z
120,SuperTeo,"@Trung Tú Nếu dịch vẫn tiếp diễn như này thì cả các bạn ở Nam cũng không đến trường được đâu, sẽ phải học online nên em ở Bắc vẫn có thể học được bình thường. Nhưng mà sao em không nộp vào cơ sở ở phía Bắc cho tiện nhỉ?",1,2021-09-01T10:38:04Z,2021-09-01T10:38:04Z
121,Trung Tú,@SuperTeo a ơi bây giờ e ở ngoài bắc mà muốn vào nam học thì nếu dịch như này mà ko vào dc thì sao ạ hay trường có phương án nào cho các học sinh miền bắc ko ạ,1,2021-09-01T08:35:07Z,2021-09-01T08:35:07Z
122,Vũ Trần Long,Vâng em cảm ơn ạ,0,2021-07-19T13:39:48Z,2021-07-19T13:39:48Z
123,SuperTeo,Cơ sở đào tạo chính là ở Quận 9 nha em,1,2021-07-19T10:23:09Z,2021-07-19T10:23:09Z
124,Nguyễn Khang,Review ngành nn Nhật đi anh,3,2021-07-19T09:16:06Z,2021-07-19T09:16:06Z
125,Hiệu Nguyễn Đình,Đại học công nghiệp hà hội,1,2021-07-19T06:47:34Z,2021-07-19T06:47:34Z
126,Ameli Sachs,"A làm về phenika đi ạ, thấy trường này cũng được đánh giá cao🤩",11,2021-07-19T05:06:47Z,2021-07-19T05:06:47Z
127,Khâm Bùi,"Ơ, tôi vào trường này nè cậu",0,2021-08-10T05:31:17Z,2021-08-10T05:31:17Z
128,Sơn Điệu Nghệ,ĐẠI HỌC CÔNG NGHỆ SÀI GÒN ĐI ANH,4,2021-07-18T19:36:36Z,2021-07-18T19:36:36Z
129,Puu Rizz,Ông tính học ngành nào v?,0,2021-07-23T10:35:46Z,2021-07-23T10:35:46Z
130,Quốc Bảo,a nói về đh hoa sen đi a rm bỡ ngỡ quá ai cũng nói đại gia mới vào học phí mắc có j em biết còn chuyển ạ,1,2021-07-18T18:47:03Z,2021-07-18T18:47:03Z
131,Dat Le,@Quốc Bảo you're welcome,1,2021-08-11T01:40:56Z,2021-08-11T01:40:56Z
132,Quốc Bảo,@Dat Le cảm ơn bạn,0,2021-08-10T15:29:16Z,2021-08-10T15:29:16Z
133,Dat Le,"ko nên học đại học hoa sen nha bạn, khuyên thật đấy. Bạn lên fb vào trang web trường hỏi các achị cũng khuyên vậy ak",1,2021-08-10T07:02:57Z,2021-08-10T07:02:57Z
134,SuperTeo,Em bấm vô kênh ad xem nhé có đại học hoa sen rồi,1,2021-07-19T04:53:15Z,2021-07-19T04:53:15Z
135,Thành Khải,Anh làm về đại học Văn Hiến đi anh,4,2021-07-18T13:19:03Z,2021-07-18T13:19:03Z
136,Duc Xuan,Anh làm về kma đi,2,2021-07-18T13:10:41Z,2021-07-18T13:10:41Z
137,Duc Xuan,Học phí căng quá,1,2021-07-18T13:10:20Z,2021-07-18T13:10:20Z
138,18_Phan Nhi_ 11.6,mình cũg nghe nói học phí tăng nhìu mà k biết cụ thể tăng khoảng bao nhiu mà mọi người than quá tr,0,2022-05-16T08:06:24Z,2022-05-16T08:06:24Z
139,Ánh Nguyệt Đoàn,Đại học Văn Hiến thì anh cảm thấy như thế nào ạ,3,2021-07-18T12:09:58Z,2021-07-18T12:09:58Z
140,Hương Lê,Đại học Văn Hiến như thế nào anh,3,2021-07-18T12:02:26Z,2021-07-18T12:02:26Z
141,NW,Anh làm về ngành toán kinh tế đi a,2,2021-07-18T11:58:27Z,2021-07-18T11:58:27Z
142,Sun,Được lên sóng kkkkk,1,2021-07-18T11:56:34Z,2021-07-18T11:56:34Z
143,Vi Trương,Công lập mà học phí cao v a,1,2021-07-18T11:29:34Z,2021-07-18T11:29:34Z
144,LEARN4YOU,Thang Le sao thế ạ,0,2021-08-29T13:46:46Z,2021-08-29T13:46:46Z
145,Thang Le,Nói chung nếu bạn điểm cao thì k nên vào thất vọng đấy,0,2021-08-01T03:04:49Z,2021-08-01T03:04:49Z
146,Tokuda Official,Anh ơi cao đẳng FPT với trường này thì kèo nào ok hơn ạ,2,2021-07-18T11:10:17Z,2021-07-18T11:10:17Z
147,Hieu Tran,Trường này xét điểm cũng ko thấp mà bạn so với cao đẳng FPT thì hơi buồn cười,5,2021-08-06T11:17:40Z,2021-08-06T11:17:40Z
148,SuperTeo,Về chất lượng thì ad ko so sánh được nhưng về cơ hội việc làm thì tâm lý nhà tuyển dụng vẫn là ưa chuộng bằng đại học hơn cao đẳng,1,2021-07-19T04:55:12Z,2021-07-19T04:55:12Z
